frame_index,time_s,current_pitch,candidate_pitch,interval,score,allowed,active_probability,candidate_confidence,current_confidence,pitch_margin,candidate_probability_growth,current_probability_drop,interval_signed,interval_absolute,current_pitch_position,candidate_pitch_position,current_duration,detected_onset,onset_confidence,onset_age,rms_level,rms_growth_ratio,spectral_flux,harmonic_match_strength,strongest_harmonic_match,max_overtone_strength
209,1.2190476190476192,64,63,-1,0.09475114941596985,1,0.2766549587249756,0.41670218110084534,0.19642746448516846,0.19285795092582703,0.032497018575668335,0.12929385900497437,-0.02777777798473835,0.02777777798473835,0.6666666865348816,0.6388888955116272,0.2612244784832001,0.0,1.0,0.42956915497779846,0.7112255096435547,0.0,0.051915865391492844,0.0,0.0,0.22549337148666382
212,1.2364625850340136,63,62,-1,0.6780419945716858,1,0.3138713538646698,0.6919447779655457,0.21099983155727386,0.4809449315071106,0.19913944602012634,0.12195990979671478,-0.02777777798473835,0.02777777798473835,0.6388888955116272,0.6111111044883728,0.017414966598153114,0.0,1.0,0.4643990993499756,0.7091450691223145,0.0,0.005891323089599609,0.0,0.0,0.2614741921424866
522,3.0360090702947846,61,62,1,0.18081864714622498,1,0.3681735098361969,0.6293337345123291,0.2444911152124405,0.3848426342010498,-0.003060460090637207,0.0881902426481247,0.02777777798473835,0.02777777798473835,0.5833333134651184,0.6111111044883728,0.01160997711122036,0.0,1.0,0.05804988741874695,0.572691798210144,0.009273097850382328,0.014948762953281403,0.0,0.0,0.22790060937404633
1108,6.437732426303855,59,61,2,0.6647297143936157,1,0.951728880405426,0.8064975738525391,0.0022827370557934046,0.6840260028839111,0.06369650363922119,0.005085190758109093,0.0555555559694767,0.0555555559694767,0.5277777910232544,0.5833333134651184,0.01160997711122036,0.0,1.0,0.03482993319630623,0.5868699550628662,0.0,0.02811378426849842,0.0,0.0,0.2895635664463043
1157,6.722176870748299,61,62,1,0.449653297662735,1,0.4350414574146271,0.7116838097572327,0.19776131212711334,0.5139225125312805,-0.060620129108428955,0.0007638335227966309,0.02777777798473835,0.02777777798473835,0.5833333134651184,0.6111111044883728,0.01160997711122036,0.0,1.0,0.05804988741874695,0.6136938333511353,0.0033657215535640717,0.030582284554839134,0.0,0.0,0.253050833940506
1540,8.945487528344671,66,67,1,0.5053278207778931,1,0.7746816873550415,0.7019777894020081,0.2847621440887451,0.41721564531326294,0.16238659620285034,0.16258102655410767,0.02777777798473835,0.02777777798473835,0.7222222089767456,0.75,0.2321995496749878,0.0,1.0,0.6733787059783936,0.7579797506332397,0.0,0.010488538071513176,0.0,0.0,0.20356766879558563
2058,11.952471655328798,73,74,1,0.582832932472229,1,0.19397158920764923,0.8196154236793518,0.17159096896648407,0.6480244398117065,0.1786940097808838,0.16959135234355927,0.02777777798473835,0.02777777798473835,0.9166666865348816,0.9444444179534912,0.02321995422244072,0.0,1.0,0.650158703327179,0.6210018992424011,0.0,0.011989828199148178,0.0,0.0,0.33868125081062317
2102,12.207891156462585,74,73,-1,0.36150190234184265,1,0.21950401365756989,0.7052502632141113,0.2710602581501007,0.4341900050640106,0.1749705672264099,0.17866304516792297,-0.02777777798473835,0.02777777798473835,0.9444444179534912,0.9166666865348816,0.2554194927215576,0.0,1.0,1.0,0.5994626879692078,0.0,0.022015128284692764,0.0,0.0,0.31198352575302124
2202,12.788390022675737,66,65,-1,0.31415385007858276,1,0.27124419808387756,0.7017685770988464,0.28852424025535583,0.4132443368434906,0.1729181408882141,0.17272308468818665,-0.02777777798473835,0.02777777798473835,0.7222222089767456,0.6944444179534912,0.15673469007015228,0.0,1.0,0.8823582530021667,0.6273965835571289,0.0,0.02703341841697693,0.0,0.0,0.12361516803503036
2212,12.846439909297052,65,64,-1,0.41999444365501404,1,0.17061202228069305,0.7422425150871277,0.24634937942028046,0.49589312076568604,0.13601630926132202,0.1335911601781845,-0.02777777798473835,0.02777777798473835,0.6944444179534912,0.6666666865348816,0.05804988741874695,0.0,1.0,0.9984580278396606,0.6187999844551086,0.0,0.005817592144012451,0.0,0.0,0.17708729207515717
