frame_index,time_s,current_pitch,candidate_pitch,interval,score,allowed,active_probability,candidate_confidence,current_confidence,pitch_margin,candidate_probability_growth,current_probability_drop,interval_signed,interval_absolute,current_pitch_position,candidate_pitch_position,current_duration,detected_onset,onset_confidence,onset_age,rms_level,rms_growth_ratio,spectral_flux,harmonic_match_strength,strongest_harmonic_match,max_overtone_strength
672,3.9067573696145126,69,66,-3,0.1469106674194336,0,0.46474123001098633,0.34929123520851135,0.012789922766387463,0.21616970002651215,-0.05468091368675232,0.0029222751036286354,-0.0833333358168602,0.0833333358168602,0.8055555820465088,0.7222222089767456,0.36571428179740906,0.0,0.0,0.02321995422244072,0.4599589407444,0.0,0.005105120595544577,0.0,0.0,0.22263416647911072
997,5.793378684807256,58,59,1,0.9146555662155151,1,0.997863233089447,0.8589844703674316,0.06754809617996216,0.7914363741874695,-0.0640714168548584,-0.026014741510152817,0.02777777798473835,0.02777777798473835,0.5,0.5277777910232544,0.01160997711122036,0.0,1.0,0.03482993319630623,0.8056374192237854,0.10872690379619598,0.045161765068769455,0.0,0.0,0.4396761357784271
1047,6.0836281179138325,59,58,-1,0.6149656772613525,1,0.46704721450805664,0.7640876173973083,0.21199296414852142,0.5520946383476257,0.1472409963607788,0.1364833265542984,-0.02777777798473835,0.02777777798473835,0.5277777910232544,0.5,0.29024943709373474,0.0,1.0,0.6153287887573242,0.6828339099884033,0.2576288878917694,0.03886542469263077,0.0,0.0,0.3875294327735901
1057,6.141678004535147,58,57,-1,0.5219504833221436,1,0.28648972511291504,0.6510387063026428,0.3369671702384949,0.31407153606414795,0.01395350694656372,0.012759178876876831,-0.02777777798473835,0.02777777798473835,0.5,0.4722222089767456,0.05804988741874695,0.0,1.0,0.7314285635948181,0.5411751866340637,0.0,0.023349754512310028,0.0,0.0,0.6173760890960693
1154,6.704761904761905,57,69,12,0.18525150418281555,0,0.9900926947593689,0.5703317523002625,0.26603826880455017,0.3042934834957123,-0.044558584690093994,-0.026709318161010742,0.3333333432674408,0.3333333432674408,0.4722222089767456,0.8055555820465088,0.4876190423965454,0.0,0.022565918043255806,0.01160997711122036,0.5095489621162415,0.0,0.007901888340711594,0.3054783344268799,1.0,0.3054783344268799
1394,8.097959183673469,57,56,-1,0.631962776184082,1,0.56878262758255,0.8172985911369324,0.14496594667434692,0.6723326444625854,0.15635466575622559,0.15164032578468323,-0.02777777798473835,0.02777777798473835,0.4722222089767456,0.4444444477558136,0.2728344798088074,0.0,1.0,0.6849886775016785,0.6111461520195007,0.0,0.01608428545296192,0.0,0.0,0.9138770699501038
1400,8.132789115646258,56,55,-1,0.6867839097976685,1,0.32709938287734985,0.6723873615264893,0.26776883006095886,0.4046185314655304,0.19454285502433777,0.15816664695739746,-0.02777777798473835,0.02777777798473835,0.4444444477558136,0.4166666567325592,0.03482993319630623,0.0,0.7653664946556091,0.7546485066413879,0.5937783122062683,0.0,0.007955078966915607,0.0,0.0,0.9013575315475464
1418,8.237278911564626,67,55,-12,0.34396329522132874,1,0.8470659852027893,0.6010730266571045,0.33796122670173645,0.26311179995536804,-0.04626268148422241,-0.043062061071395874,-0.3333333432674408,0.3333333432674408,0.75,0.4166666567325592,0.017414966598153114,0.0,0.14147256314754486,0.04643990844488144,0.5562946796417236,0.0,0.007162267807871103,0.0,0.0,0.47770804166793823
1864,10.826303854875283,57,62,5,0.9201200604438782,1,0.9938101172447205,0.9638168811798096,7.864981307648122e-05,0.9472378492355347,0.07171112298965454,-5.466985021485016e-05,0.1388888955116272,0.1388888955116272,0.4722222089767456,0.6111111044883728,0.3482993245124817,0.0,1.0,0.03482993319630623,0.747533917427063,0.07317136228084564,0.012757695280015469,0.0,0.0,0.674102783203125
2089,12.132426303854876,54,55,1,0.5937563180923462,1,0.8392220139503479,0.8796663880348206,0.11428637057542801,0.7653800249099731,0.2677538990974426,0.26727238297462463,0.02777777798473835,0.02777777798473835,0.3888888955116272,0.4166666567325592,0.2554194927215576,0.0,1.0,0.6617687344551086,0.6814380288124084,0.07285003364086151,0.07885021716356277,0.0,0.0,0.9658003449440002
2351,13.653333333333334,64,55,-9,0.15353363752365112,0,0.18195565044879913,0.2903493642807007,0.0560721829533577,0.16180816292762756,0.11281879246234894,0.07126971334218979,-0.25,0.25,0.6666666865348816,0.4166666567325592,0.7836734652519226,0.0,1.0,1.0,0.7583034038543701,0.0,0.15332308411598206,0.0,0.0,0.8043910264968872
2366,13.740408163265306,64,55,-9,0.2797514498233795,1,0.1927090585231781,0.6344550251960754,0.0011293740244582295,0.48261475563049316,-0.11393898725509644,-0.00015246612019836903,-0.25,0.25,0.6666666865348816,0.4166666567325592,0.8707482814788818,0.0,1.0,1.0,0.7034738063812256,0.0,0.05635403096675873,0.0,0.0,0.8870350122451782
2390,13.879727891156463,55,57,2,0.7272927761077881,1,0.9993410706520081,0.7251618504524231,0.005376073531806469,0.6147441267967224,-0.14495009183883667,-0.005037959665060043,0.0555555559694767,0.0555555559694767,0.4166666567325592,0.4722222089767456,0.13931973278522491,0.0,1.0,0.01160997711122036,0.6184495091438293,0.030268557369709015,0.026520749554038048,0.0,0.0,0.6537103056907654
2585,15.011700680272108,62,63,1,0.6610527634620667,1,0.7960677742958069,0.6296956539154053,0.3454025983810425,0.2842930555343628,0.09752035140991211,0.08277374505996704,0.02777777798473835,0.02777777798473835,0.6111111044883728,0.6388888955116272,0.15673469007015228,0.0,1.0,0.3366893529891968,0.7594831585884094,0.0,0.006684606429189444,0.0,0.0,0.4648236334323883
2598,15.087165532879819,63,62,-1,0.7930501699447632,1,0.6011407971382141,0.730437695980072,0.24462704360485077,0.48581063747406006,0.11216896772384644,0.10708971321582794,-0.02777777798473835,0.02777777798473835,0.6388888955116272,0.6111111044883728,0.07546485215425491,0.0,1.0,0.4876190423965454,0.7350103855133057,0.06537321209907532,0.023395881056785583,0.0,0.0,0.28687381744384766
2734,15.876643990929706,62,61,-1,0.3598501980304718,1,0.16238009929656982,0.4950370788574219,0.0408809632062912,0.26217061281204224,-0.027321279048919678,0.10689480602741241,-0.02777777798473835,0.02777777798473835,0.6111111044883728,0.5833333134651184,0.1915646195411682,0.0,1.0,0.06965986639261246,0.596547544002533,0.10682937502861023,0.024060945957899094,0.0,0.0,0.1876065880060196
