event_id,start_s,end_s,duration_ms,pitch_midi,annotation_support_ratio,spectral_support_ratio,classification
0,0.7952834467120181,0.8765532879818594,81.26984126984127,62,1.0,1.0,supported
1,0.8765532879818594,0.9578231292517007,81.26984126984127,62,1.0,1.0,supported
2,0.9578231292517007,1.039092970521542,81.26984126984127,62,1.0,1.0,supported
3,1.039092970521542,1.1203628117913833,81.26984126984138,62,1.0,1.0,supported
4,1.1203628117913833,1.2016326530612245,81.26984126984115,62,1.0,1.0,supported
5,1.2016326530612245,1.2654875283446712,63.85487528344669,62,1.0,1.0,supported
6,1.4918820861678004,1.5731519274376418,81.26984126984138,71,1.0,1.0,supported
7,1.5731519274376418,1.654421768707483,81.26984126984115,71,1.0,1.0,supported
8,1.654421768707483,1.7356916099773243,81.26984126984138,71,1.0,1.0,supported
9,1.7356916099773243,1.8169614512471655,81.26984126984115,71,1.0,1.0,supported
10,1.8169614512471655,1.8982312925170068,81.26984126984138,71,1.0,1.0,supported
11,1.8982312925170068,1.979501133786848,81.26984126984115,71,1.0,1.0,supported
12,1.979501133786848,2.066575963718821,87.07482993197301,71,1.0,1.0,supported
13,2.066575963718821,2.1652607709750566,98.68480725623563,71,1.0,1.0,supported
14,2.1652607709750566,2.2639455782312927,98.68480725623607,71,1.0,1.0,supported
15,2.2639455782312927,2.3626303854875284,98.68480725623563,71,1.0,1.0,supported
16,2.3626303854875284,2.4439002267573695,81.26984126984115,71,1.0,1.0,supported
17,2.4439002267573695,2.5309750566893423,87.0748299319728,71,1.0,1.0,supported
18,2.693514739229025,2.7747845804988662,81.26984126984115,61,1.0,1.0,supported
19,2.7747845804988662,2.8560544217687074,81.26984126984115,61,1.0,1.0,supported
20,2.8560544217687074,2.9373242630385485,81.26984126984115,61,1.0,1.0,supported
21,2.9373242630385485,3.01859410430839,81.2698412698416,61,1.0,1.0,supported
22,3.01859410430839,3.0998639455782313,81.26984126984115,61,1.0,1.0,supported
23,3.0998639455782313,3.1811337868480725,81.26984126984115,61,1.0,1.0,supported
24,3.1811337868480725,3.2624036281179136,81.26984126984115,61,1.0,1.0,supported
25,3.2624036281179136,3.3436734693877552,81.2698412698416,61,1.0,1.0,supported
26,3.3436734693877552,3.4249433106575964,81.26984126984115,61,1.0,1.0,supported
27,3.4249433106575964,3.5062131519274375,81.26984126984115,61,1.0,1.0,supported
28,3.541043083900227,3.622312925170068,81.26984126984115,69,1.0,0.8249808665294486,supported
29,3.622312925170068,3.7035827664399092,81.26984126984115,69,1.0,1.0,supported
30,3.7035827664399092,3.7848526077097504,81.26984126984115,69,1.0,1.0,supported
31,3.7848526077097504,3.866122448979592,81.2698412698416,69,1.0,1.0,supported
32,3.866122448979592,3.9183673469387754,52.24489795918341,69,1.0,1.0,supported
33,4.063492063492063,4.144761904761904,81.26984126984115,59,1.0,1.0,supported
34,4.144761904761904,4.220226757369614,75.46485260770996,59,1.0,1.0,supported
35,4.77750566893424,4.789115646258503,11.609977324263276,59,1.0,1.0,supported
36,4.812335600907029,4.829750566893424,17.41496598639536,67,1.0,1.0,supported
37,4.864580498866213,4.9458503401360545,81.26984126984115,67,1.0,1.0,supported
38,4.9458503401360545,5.027120181405896,81.26984126984115,67,1.0,1.0,supported
39,5.027120181405896,5.178049886621316,150.92970521541992,67,1.0,1.0,supported
40,5.178049886621316,5.294149659863946,116.0997732426301,67,1.0,1.0,supported
41,5.294149659863946,5.375419501133787,81.26984126984115,67,1.0,1.0,supported
42,5.375419501133787,5.456689342403628,81.26984126984115,67,1.0,1.0,supported
43,5.456689342403628,5.537959183673469,81.26984126984115,67,1.0,1.0,supported
44,5.537959183673469,5.625034013605442,87.07482993197324,67,1.0,1.0,supported
45,5.7817687074829935,5.793378684807256,11.609977324262388,58,0.0,1.0,unsupported
46,5.793378684807256,5.874648526077097,81.26984126984115,59,1.0,1.0,supported
47,5.874648526077097,5.955918367346939,81.26984126984205,59,1.0,1.0,supported
48,5.955918367346939,6.03718820861678,81.26984126984115,59,1.0,1.0,supported
49,6.03718820861678,6.0836281179138325,46.43990929705222,59,0.375,1.0,weak
50,6.0836281179138325,6.141678004535147,58.049886621314606,58,0.0,1.0,unsupported
51,6.141678004535147,6.170702947845805,29.024943310657747,57,0.8,1.0,supported
52,6.217142857142857,6.30421768707483,87.07482993197324,57,0.0,1.0,unsupported
53,6.30421768707483,6.402902494331066,98.68480725623563,57,0.0,1.0,unsupported
54,6.402902494331066,6.757006802721088,354.10430839002237,57,0.0,0.85228106689556,unsupported
55,6.861496598639456,6.902131519274376,40.634920634920135,66,1.0,0.7888946341272348,supported
56,6.919546485260771,7.000816326530612,81.26984126984115,66,1.0,1.0,supported
57,7.000816326530612,7.082086167800454,81.26984126984205,66,1.0,1.0,supported
58,7.082086167800454,7.163356009070295,81.26984126984115,66,1.0,1.0,supported
59,7.163356009070295,7.244625850340136,81.26984126984115,66,1.0,1.0,supported
60,7.244625850340136,7.325895691609977,81.26984126984115,66,1.0,1.0,supported
61,7.325895691609977,7.4071655328798185,81.26984126984115,66,1.0,1.0,supported
62,7.4071655328798185,7.48843537414966,81.26984126984115,66,1.0,1.0,supported
63,7.48843537414966,7.569705215419501,81.26984126984115,66,1.0,1.0,supported
64,7.569705215419501,7.621950113378685,52.2448979591843,66,1.0,1.0,supported
65,7.772879818594104,7.813514739229025,40.63492063492102,57,1.0,1.0,supported
66,7.825124716553288,7.90639455782313,81.26984126984205,57,1.0,1.0,supported
67,7.90639455782313,7.993469387755102,87.07482993197235,57,1.0,1.0,supported
68,7.993469387755102,8.074739229024944,81.26984126984205,57,0.6428571428571429,1.0,supported
69,8.074739229024944,8.097959183673469,23.219954648524777,57,0.0,0.8829516376180465,unsupported
70,8.097959183673469,8.132789115646258,34.82993197278894,56,0.0,0.5993122073811651,unsupported
71,8.132789115646258,8.196643990929704,63.85487528344669,55,1.0,0.7385633802452334,supported
